Iepirkuma ID,Nr,Atbilde,Sagaidāmā atbilde,Pamatojums
APP DI 2020/2/ERAF_AK,2-0,nē,nē,"```json
{
  ""answer"": ""nē"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir skaidri norādīts, ka iepirkums tiek veikts kā atklāts konkurss: 'Atklāts konkurss “Būvprojekta izstrāde, autoruzraudzība un Dārzkopības institūta siltumnīcu kompleksa ar palīgtelpām pārbūve” (identifikācijas Nr. APP DI 2020/2/ERAF_AK) (turpmāk – Konkurss) tiek veikts saskaņā ar Publisko iepirkumu likumu.' Nav minēts, ka tiktu piemērota konkursa procedūra ar sarunām, konkursa dialogs vai sarunu procedūra.""
}
```"
APP DI 2020/2/ERAF_AK,2,n/a,n/a,
APP DI 2020/2/ERAF_AK,4-0,jā,nē,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka 'Iepirkuma priekšmets nav sadalīts daļās. Pretendentam piedāvājums ir jāiesniedz par visu apjomu. Iepirkuma līgums tiks slēgts ar vienu piegādātāju.'""
}
```"
APP DI 2020/2/ERAF_AK,4,kontekstā nav informācijas,nē,"```json
{
  ""answer"": ""kontekstā nav informācijas"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā nav sniegta informācija par to, vai iepirkuma procedūras dokumentos ir iekļauts skaidrojums par iemesliem iepirkuma priekšmeta nesadalīšanai. Lai atbildētu uz šo jautājumu, būtu nepieciešams konkrēts fragments no iepirkuma dokumentiem, kurā šāds skaidrojums ir sniegts, kā arī izvērtējums par tā objektivitāti.""
}
```"
APP DI 2020/2/ERAF_AK,6-0,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka iepirkuma līguma priekšmets ietver būvprojekta izstrādi (pakalpojums), autoruzraudzību (pakalpojums) un siltumnīcu kompleksa ar palīgtelpām pārbūvi (būvdarbi). Tādējādi iepirkuma līguma priekšmets aptver gan būvdarbu, gan pakalpojumu iepirkumus.""
}
```"
APP DI 2020/2/ERAF_AK,6,jā,jā,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā ir norādīts, ka iepirkuma priekšmets ir būvprojekta izstrāde, autoruzraudzība un Dārzkopības institūta siltumnīcu kompleksa ar palīgtelpām pārbūve. Galvenais priekšmets ir klasificēts ar CPV kodu 45000000-7 – celtniecības darbi, kas atbilst iepirkuma līguma veidam. Papildus priekšmeti ir klasificēti ar CPV kodiem 71000000-8 un 71248000-8, kas attiecas uz arhitektūras, būvniecības, inženiertehniskajiem un pārbaudes pakalpojumiem, kā arī projekta un dokumentācijas uzraudzību.""
}
```"
APP DI 2020/2/ERAF_AK,7-0,jā,nē,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Iepirkuma līguma priekšmets ietver būvprojekta izstrādi, autoruzraudzību un siltumnīcu kompleksa pārbūvi, kas atbilst PIL 2. pielikuma 1. punktā minētajiem pakalpojumiem, piemēram, 'veselības, sociālie un saistītie pakalpojumi' (CPV kodi no 85000000-9 līdz 85323000-9). Turklāt, līguma priekšmets ietver arī būvniecības darbus, kas nav tieši minēti PIL 2. pielikumā, tādējādi ietverot gan minētos pakalpojumus, gan citus pakalpojumus un darbus.""
}
```"
APP DI 2020/2/ERAF_AK,7,jā,n/a,"```json
{
  ""answer"": ""jā"",
  ""rate"": ""augsta"",
  ""explanation"": ""Publisko iepirkumu likuma (PIL) noteikumi paredz, ka galvenais priekšmets un piemērojamā iepirkuma procedūra tiek noteikta pēc tā, kuru pakalpojumu vai piegāžu paredzamā līgumcena ir visaugstākā. Šis princips ir piemērojams, lai noteiktu iepirkuma priekšmeta klasifikāciju un attiecīgi piemērojamo procedūru.""
}
```"
APP DI 2020/2/ERAF_AK,9-0,nē,nē,"```json
{
  ""answer"": ""nē"",
  ""rate"": ""augsta"",
  ""explanation"": ""Kontekstā norādīts, ka iepirkuma priekšmets ir būvprojekta izstrāde, autoruzraudzība un Dārzkopības institūta siltumnīcu kompleksa ar palīgtelpām pārbūve. CPV kodi, kas attiecas uz šo iepirkumu, ir 45000000-7, 71000000-8 un 71248000-8, kas saistīti ar celtniecības darbiem un arhitektūras, būvniecības, inženiertehniskajiem un pārbaudes pakalpojumiem. Tie neatbilst lietotāja minētajiem CPV kodiem, kas attiecas uz veselības, sociālās un kultūras jomas pakalpojumiem.""
}
```"
APP DI 2020/2/ERAF_AK,9.1,n/a,n/a,
